Ticker,Start Date,End Date,Initial Cash,Final Strategy Value,Final Buy-Hold Value,Strategy Return %,Buy-Hold Return %,Difference %,Max Drawdown %,Number of Trades,Win Rate %,Status
AAPL,2022-05-02,2026-07-17,10000.0,17557.309940998963,20993.92131059426,75.57309940998962,109.93921310594263,-34.366113695953004,-16.394444217422844,6,83.33333333333334,OK
MSFT,2022-05-02,2026-07-17,10000.0,11351.706998989526,13892.150340829805,13.517069989895258,38.92150340829805,-25.404433418402792,-30.7581711962035,9,22.22222222222222,OK
NVDA,2022-05-02,2026-07-17,10000.0,73191.60331296107,103450.56956807968,631.9160331296107,934.5056956807967,-302.58966255118605,-29.620629131769327,5,60.0,OK
TSLA,2022-05-02,2026-07-17,10000.0,7335.950756151433,12694.318375042976,-26.640492438485673,26.943183750429768,-53.58367618891544,-58.02781677559559,13,23.076923076923077,OK
SPY,2022-05-02,2026-07-17,10000.0,15534.766106987807,17907.497606518606,55.34766106987807,79.07497606518605,-23.727314995307978,-9.14963125151228,6,66.66666666666666,OK
