Ticker,Start Date,End Date,Initial Cash,Final Strategy Value,Final Buy-Hold Value,Strategy Return %,Buy-Hold Return %,Difference %,Max Drawdown %,Number of Trades,Win Rate %,Status
AAPL,2022-04-28,2026-07-13,10000.0,16799.680527542198,19390.73568455814,67.99680527542198,93.90735684558142,-25.91055157015944,-16.394444217422844,6,83.33333333333334,OK
MSFT,2022-04-28,2026-07-13,10000.0,11351.706998989526,13499.636903730745,13.517069989895258,34.99636903730745,-21.479299047412194,-30.7581711962035,9,22.22222222222222,OK
NVDA,2022-04-28,2026-07-13,10000.0,73720.42556043561,102886.46396627692,637.2042556043561,928.8646396627693,-291.6603840584131,-29.620629131769327,5,60.0,OK
TSLA,2022-04-28,2026-07-13,10000.0,7309.657341804264,13495.91522949641,-26.90342658195736,34.95915229496409,-61.86257887692145,-58.02781677559559,13,23.076923076923077,OK
SPY,2022-04-28,2026-07-13,10000.0,15680.019354021946,17511.74556895545,56.80019354021945,75.11745568955452,-18.317262149335065,-9.14963125151228,6,66.66666666666666,OK
