ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
SO,2021-12-31,2022-03-01,,,,,1150362966,,,,,
SO,2022-12-31,2023-03-01,3535000000.0,29279000000.0,30408000000.0,59135000000.0,1150362966,3535000000.0,0.11625230202578268,0.12073499777997883,1.9447184951328598,
SO,2023-12-31,2024-02-29,3976000000.0,25253000000.0,31444000000.0,63490000000.0,1150362966,3976000000.0,0.12644701691896706,0.15744664000316794,2.0191451469278716,0.12475247524752475
SO,2024-12-31,2025-03-01,,,,,1150362966,,,,,
SO,2025-03-31,2025-05-30,,,,,1150362966,,,,,
SO,2025-06-30,2025-08-29,880000000.0,6973000000.0,34014000000.0,70824000000.0,1150362966,,,0.12620106123619676,2.082201446463221,
SO,2025-09-30,2025-11-29,1711000000.0,7823000000.0,35002000000.0,73746000000.0,1150362966,,,0.2187140483190592,2.1069081766756184,
SO,2025-12-31,2026-03-01,416000000.0,6981000000.0,36016000000.0,74075000000.0,1150362966,,,0.0595903165735568,2.0567247889826743,
SO,2026-03-31,2026-05-30,1356000000.0,8397000000.0,37122000000.0,76005000000.0,1150362966,4363000000.0,0.11753138300738107,0.16148624508753126,2.0474381768223693,
SO,2026-06-30,2026-08-29,1174000000.0,6977000000.0,39570000000.0,77087000000.0,1150362966,4657000000.0,0.11769016932019206,0.16826716353733698,1.9481172605509225,0.3340909090909091
