Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,90.0199966430664,90.61000061035156,88.27999877929688,89.0,81.80291748046875,184000,0.0,0.0
2015-01-05 00:00:00-05:00,88.48999786376953,88.70999908447266,86.36000061035156,87.05000305175781,80.01062774658203,254200,0.0,0.0
2015-01-06 00:00:00-05:00,87.0999984741211,87.36000061035156,86.08999633789062,86.41000366210938,79.42234802246094,311600,0.0,0.0
2015-01-07 00:00:00-05:00,87.26000213623047,88.20999908447266,86.58999633789062,87.4000015258789,80.33231353759766,222300,0.0,0.0
2015-01-08 00:00:00-05:00,89.61000061035156,92.31999969482422,88.97000122070312,91.52999877929688,84.12835693359375,539400,0.0,0.0
2015-01-09 00:00:00-05:00,91.54000091552734,92.54000091552734,90.18000030517578,90.77999877929688,83.43900299072266,338600,0.0,0.0
2015-01-12 00:00:00-05:00,91.08999633789062,92.5999984741211,90.22000122070312,91.45999908447266,84.0639877319336,485700,0.0,0.0
2015-01-13 00:00:00-05:00,92.38999938964844,93.8499984741211,91.83000183105469,92.93000030517578,85.41512298583984,303600,0.0,0.0
2015-01-14 00:00:00-05:00,91.95999908447266,93.02999877929688,91.13999938964844,92.37999725341797,84.90959167480469,176200,0.0,0.0
2015-01-15 00:00:00-05:00,92.5199966430664,93.16000366210938,90.70999908447266,91.7300033569336,84.3121566772461,214500,0.0,0.0
2015-01-16 00:00:00-05:00,91.69999694824219,93.56999969482422,91.69999694824219,93.0,85.47947692871094,360500,0.0,0.0
2015-01-20 00:00:00-05:00,93.30000305175781,93.69999694824219,91.5,92.5,85.0198974609375,195800,0.0,0.0
2015-01-21 00:00:00-05:00,92.36000061035156,93.16000366210938,91.01000213623047,91.30000305175781,83.91695404052734,194300,0.0,0.0
2015-01-22 00:00:00-05:00,92.12000274658203,92.36000061035156,90.80000305175781,91.41000366210938,84.01805877685547,282200,0.0,0.0
2015-01-23 00:00:00-05:00,91.43000030517578,92.4800033569336,91.12000274658203,92.05999755859375,84.61547088623047,190000,0.0,0.0
2015-01-26 00:00:00-05:00,91.83000183105469,94.66999816894531,91.76000213623047,94.61000061035156,86.95928955078125,280800,0.0,0.0
2015-01-27 00:00:00-05:00,93.30999755859375,94.47000122070312,92.83999633789062,93.29000091552734,85.74603271484375,235500,0.0,0.0
2015-01-28 00:00:00-05:00,93.91000366210938,94.36000061035156,92.13999938964844,92.33999633789062,84.8728256225586,239100,0.0,0.0
2015-01-29 00:00:00-05:00,92.56999969482422,93.77999877929688,91.5199966430664,93.61000061035156,86.22687530517578,195900,0.2,0.0
2015-01-30 00:00:00-05:00,92.88999938964844,93.75,91.1500015258789,91.30000305175781,84.09910583496094,241000,0.0,0.0
2015-02-02 00:00:00-05:00,91.80999755859375,92.27999877929688,90.29000091552734,92.01000213623047,84.75311279296875,313600,0.0,0.0
2015-02-03 00:00:00-05:00,92.33000183105469,94.01000213623047,91.55000305175781,93.31999969482422,85.95977020263672,398700,0.0,0.0
2015-02-04 00:00:00-05:00,93.1500015258789,94.3499984741211,92.30000305175781,93.5199966430664,86.14398193359375,299200,0.0,0.0
2015-02-05 00:00:00-05:00,93.62999725341797,94.29000091552734,91.12000274658203,91.55000305175781,84.3293685913086,408100,0.0,0.0
2015-02-06 00:00:00-05:00,91.55000305175781,92.19000244140625,90.20999908447266,91.4000015258789,84.19120788574219,366000,0.0,0.0
2015-02-09 00:00:00-05:00,91.05000305175781,91.4000015258789,89.70999908447266,89.8499984741211,82.76344299316406,198200,0.0,0.0
2015-02-10 00:00:00-05:00,90.52999877929688,90.56999969482422,89.62999725341797,89.76000213623047,82.6805648803711,224100,0.0,0.0
2015-02-11 00:00:00-05:00,89.68000030517578,90.26000213623047,89.01000213623047,89.5999984741211,82.53318786621094,159900,0.0,0.0
2015-02-12 00:00:00-05:00,90.12000274658203,90.5,89.66000366210938,90.02999877929688,82.92922973632812,177700,0.0,0.0
2015-02-13 00:00:00-05:00,90.0199966430664,90.4000015258789,88.58000183105469,88.93000030517578,81.91600799560547,238500,0.0,0.0
2015-02-17 00:00:00-05:00,89.26000213623047,89.61000061035156,88.36000061035156,89.52999877929688,82.46866607666016,228400,0.0,0.0
2015-02-18 00:00:00-05:00,90.01000213623047,91.5999984741211,89.66000366210938,90.70999908447266,83.55561828613281,313000,0.0,0.0
2015-02-19 00:00:00-05:00,90.18000030517578,90.54000091552734,89.3499984741211,90.3499984741211,83.22400665283203,153200,0.0,0.0
2015-02-20 00:00:00-05:00,90.5199966430664,91.16999816894531,89.4000015258789,91.1500015258789,83.96092224121094,159500,0.0,0.0
2015-02-23 00:00:00-05:00,91.19999694824219,92.3499984741211,90.7300033569336,91.81999969482422,84.57807159423828,253500,0.0,0.0
2015-02-24 00:00:00-05:00,91.54000091552734,92.1500015258789,90.94000244140625,91.33999633789062,84.13591766357422,205300,0.0,0.0
2015-02-25 00:00:00-05:00,91.19999694824219,91.19999694824219,88.7699966430664,89.08000183105469,82.0541763305664,270100,0.0,0.0
2015-02-26 00:00:00-05:00,88.87999725341797,89.61000061035156,88.6500015258789,89.48999786376953,82.43184661865234,170800,0.0,0.0
2015-02-27 00:00:00-05:00,89.58999633789062,89.9000015258789,87.19999694824219,87.75,80.8290786743164,283400,0.0,0.0
2015-03-02 00:00:00-05:00,87.88999938964844,88.83000183105469,87.6500015258789,88.44000244140625,81.46465301513672,238000,0.0,0.0
2015-03-03 00:00:00-05:00,88.36000061035156,88.61000061035156,87.04000091552734,87.38999938964844,80.49746704101562,174400,0.0,0.0
2015-03-04 00:00:00-05:00,86.98999786376953,88.16999816894531,86.19999694824219,87.94000244140625,81.00411224365234,256900,0.0,0.0
2015-03-05 00:00:00-05:00,88.19999694824219,89.08999633789062,87.55999755859375,88.19000244140625,81.23438262939453,153800,0.0,0.0
2015-03-06 00:00:00-05:00,87.2699966430664,88.31999969482422,86.87999725341797,87.4800033569336,80.58038330078125,234300,0.0,0.0
2015-03-09 00:00:00-04:00,88.12000274658203,92.56999969482422,88.11000061035156,90.7300033569336,83.57405853271484,736700,0.0,0.0
2015-03-10 00:00:00-04:00,86.5,89.4800033569336,83.0,87.55000305175781,80.64486694335938,816000,0.0,0.0
2015-03-11 00:00:00-04:00,86.91000366210938,89.0,86.04000091552734,87.3499984741211,80.46063232421875,383200,0.0,0.0
2015-03-12 00:00:00-04:00,88.12000274658203,89.44999694824219,87.69999694824219,89.26000213623047,82.2199935913086,291300,0.0,0.0
2015-03-13 00:00:00-04:00,89.5999984741211,89.5999984741211,87.55000305175781,88.0,81.05940246582031,283300,0.0,0.0
2015-03-16 00:00:00-04:00,88.62999725341797,88.87999725341797,87.43000030517578,88.05999755859375,81.11463165283203,265900,0.0,0.0
2015-03-17 00:00:00-04:00,88.13999938964844,88.41000366210938,87.0999984741211,88.08999633789062,81.14224243164062,284700,0.0,0.0
2015-03-18 00:00:00-04:00,87.69000244140625,88.44999694824219,86.11000061035156,87.56999969482422,80.66328430175781,236800,0.0,0.0
2015-03-19 00:00:00-04:00,87.5999984741211,88.2699966430664,87.0999984741211,87.9000015258789,80.96725463867188,198400,0.0,0.0
2015-03-20 00:00:00-04:00,88.43000030517578,89.20999908447266,87.94999694824219,88.95999908447266,81.94365692138672,323900,0.0,0.0
2015-03-23 00:00:00-04:00,89.06999969482422,89.66000366210938,88.19000244140625,88.63999938964844,81.64887237548828,272700,0.0,0.0
2015-03-24 00:00:00-04:00,88.5,89.27999877929688,87.87000274658203,89.0199966430664,81.99891662597656,192200,0.0,0.0
2015-03-25 00:00:00-04:00,89.5,89.52999877929688,86.94999694824219,87.2300033569336,80.35008239746094,213900,0.0,0.0
2015-03-26 00:00:00-04:00,87.25,88.0999984741211,86.30000305175781,87.19999694824219,80.32247161865234,196500,0.0,0.0
2015-03-27 00:00:00-04:00,87.0199966430664,88.94999694824219,86.5999984741211,88.8499984741211,81.8423080444336,196900,0.0,0.0
2015-03-30 00:00:00-04:00,88.9800033569336,90.87000274658203,88.51000213623047,90.2699966430664,83.15031433105469,250300,0.0,0.0
2015-03-31 00:00:00-04:00,90.06999969482422,90.37999725341797,89.69000244140625,90.0999984741211,82.99372863769531,266900,0.0,0.0
2015-04-01 00:00:00-04:00,89.72000122070312,89.88999938964844,88.0999984741211,89.7699966430664,82.68972778320312,155000,0.0,0.0
2015-04-02 00:00:00-04:00,89.7699966430664,91.9800033569336,89.76000213623047,90.0199966430664,82.92002868652344,302600,0.0,0.0
2015-04-06 00:00:00-04:00,89.4000015258789,91.7699966430664,89.4000015258789,90.44999694824219,83.31613159179688,209400,0.0,0.0
2015-04-07 00:00:00-04:00,90.69999694824219,90.69999694824219,89.05999755859375,89.25,82.2107925415039,259200,0.0,0.0
2015-04-08 00:00:00-04:00,89.58999633789062,90.2699966430664,89.01000213623047,89.19999694824219,82.16471099853516,239700,0.0,0.0
2015-04-09 00:00:00-04:00,89.4000015258789,90.5999984741211,87.8499984741211,88.77999877929688,81.77781677246094,168200,0.0,0.0
2015-04-10 00:00:00-04:00,89.37000274658203,89.94999694824219,88.54000091552734,89.91999816894531,82.82792663574219,295300,0.0,0.0
2015-04-13 00:00:00-04:00,90.26000213623047,91.08000183105469,89.47000122070312,89.72000122070312,82.6436996459961,235100,0.0,0.0
2015-04-14 00:00:00-04:00,89.91999816894531,91.08000183105469,89.26000213623047,90.25,83.13192749023438,328600,0.0,0.0
2015-04-15 00:00:00-04:00,90.91000366210938,91.37999725341797,88.81999969482422,88.9800033569336,81.96205139160156,302200,0.0,0.0
2015-04-16 00:00:00-04:00,89.2300033569336,89.91000366210938,88.04000091552734,88.26000213623047,81.29886627197266,195900,0.0,0.0
2015-04-17 00:00:00-04:00,87.72000122070312,88.0,86.55000305175781,87.31999969482422,80.43301391601562,378400,0.0,0.0
2015-04-20 00:00:00-04:00,88.41000366210938,88.72000122070312,87.62999725341797,87.75,80.8290786743164,234800,0.0,0.0
2015-04-21 00:00:00-04:00,88.33000183105469,88.38999938964844,87.33000183105469,87.43000030517578,80.53433990478516,167200,0.0,0.0
2015-04-22 00:00:00-04:00,87.70999908447266,87.7300033569336,85.69999694824219,86.45999908447266,79.6408462524414,176000,0.0,0.0
2015-04-23 00:00:00-04:00,86.4000015258789,86.77999877929688,85.18000030517578,85.81999969482422,79.05131530761719,241400,0.0,0.0
2015-04-24 00:00:00-04:00,86.06999969482422,86.2699966430664,85.61000061035156,85.80000305175781,79.03288269042969,167700,0.0,0.0
2015-04-27 00:00:00-04:00,86.12999725341797,86.33000183105469,84.08999633789062,85.11000061035156,78.3973159790039,168600,0.0,0.0
2015-04-28 00:00:00-04:00,85.04000091552734,85.76000213623047,84.19000244140625,85.02999877929688,78.32363891601562,222800,0.0,0.0
2015-04-29 00:00:00-04:00,84.55000305175781,84.98999786376953,82.01000213623047,82.0199966430664,75.72914123535156,230500,0.2,0.0
2015-04-30 00:00:00-04:00,81.77999877929688,82.77999877929688,80.94000244140625,82.18000030517578,75.87686157226562,271600,0.0,0.0
2015-05-01 00:00:00-04:00,82.38999938964844,83.72000122070312,82.0199966430664,83.06999969482422,76.69857788085938,221000,0.0,0.0
2015-05-04 00:00:00-04:00,83.61000061035156,84.91999816894531,83.02999877929688,83.41999816894531,77.02174377441406,186000,0.0,0.0
2015-05-05 00:00:00-04:00,83.33999633789062,83.8499984741211,81.0999984741211,82.31999969482422,76.00611114501953,240200,0.0,0.0
2015-05-06 00:00:00-04:00,82.62000274658203,83.06999969482422,81.70999908447266,82.19999694824219,75.89533233642578,265900,0.0,0.0
2015-05-07 00:00:00-04:00,82.37999725341797,82.66000366210938,81.18000030517578,81.75,75.47984313964844,361000,0.0,0.0
2015-05-08 00:00:00-04:00,82.5999984741211,83.16000366210938,81.73999786376953,82.30999755859375,75.99687194824219,220800,0.0,0.0
2015-05-11 00:00:00-04:00,82.5999984741211,83.66000366210938,82.22000122070312,82.26000213623047,75.95072174072266,246100,0.0,0.0
2015-05-12 00:00:00-04:00,82.2300033569336,83.75,81.72000122070312,82.93000030517578,76.56935119628906,216100,0.0,0.0
2015-05-13 00:00:00-04:00,82.9800033569336,83.20999908447266,81.73999786376953,82.68000030517578,76.3385238647461,287400,0.0,0.0
