Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02 00:00:00-05:00,206.3800048828125,206.8800048828125,204.17999267578125,205.42999267578125,169.68785095214844,121465900,0.0,0.0,0.0
2015-01-05 00:00:00-05:00,204.1699981689453,204.3699951171875,201.35000610351562,201.72000122070312,166.6233673095703,169632600,0.0,0.0,0.0
2015-01-06 00:00:00-05:00,202.08999633789062,202.72000122070312,198.86000061035156,199.82000732421875,165.05392456054688,209151400,0.0,0.0,0.0
2015-01-07 00:00:00-05:00,201.4199981689453,202.72000122070312,200.8800048828125,202.30999755859375,167.11065673828125,125346700,0.0,0.0,0.0
2015-01-08 00:00:00-05:00,204.00999450683594,206.16000366210938,203.99000549316406,205.89999389648438,170.0760955810547,147217800,0.0,0.0,0.0
2015-01-09 00:00:00-05:00,206.39999389648438,206.4199981689453,203.50999450683594,204.25,168.7131805419922,158567300,0.0,0.0,0.0
2015-01-12 00:00:00-05:00,204.41000366210938,204.60000610351562,201.9199981689453,202.64999389648438,167.39151000976562,144396100,0.0,0.0,0.0
2015-01-13 00:00:00-05:00,204.1199951171875,205.47999572753906,200.50999450683594,202.0800018310547,166.92071533203125,214553300,0.0,0.0,0.0
2015-01-14 00:00:00-05:00,199.64999389648438,201.10000610351562,198.57000732421875,200.86000061035156,165.9130096435547,192991100,0.0,0.0,0.0
2015-01-15 00:00:00-05:00,201.6300048828125,202.00999450683594,198.8800048828125,199.02000427246094,164.3931121826172,176613900,0.0,0.0,0.0
2015-01-16 00:00:00-05:00,198.77000427246094,201.82000732421875,198.5500030517578,201.6300048828125,166.5490264892578,211879600,0.0,0.0,0.0
2015-01-20 00:00:00-05:00,202.39999389648438,202.72000122070312,200.1699981689453,202.05999755859375,166.90419006347656,130991100,0.0,0.0,0.0
2015-01-21 00:00:00-05:00,201.5,203.66000366210938,200.94000244140625,203.0800018310547,167.74673461914062,122942700,0.0,0.0,0.0
2015-01-22 00:00:00-05:00,203.99000549316406,206.25999450683594,202.3300018310547,206.10000610351562,170.24127197265625,174356000,0.0,0.0,0.0
2015-01-23 00:00:00-05:00,205.7899932861328,206.10000610351562,204.80999755859375,204.97000122070312,169.30787658691406,117516800,0.0,0.0,0.0
2015-01-26 00:00:00-05:00,204.7100067138672,205.55999755859375,203.85000610351562,205.4499969482422,169.7044219970703,92009700,0.0,0.0,0.0
2015-01-27 00:00:00-05:00,202.97000122070312,204.1199951171875,201.74000549316406,202.74000549316406,167.4658660888672,134044600,0.0,0.0,0.0
2015-01-28 00:00:00-05:00,204.1699981689453,204.2899932861328,199.91000366210938,200.13999938964844,165.31825256347656,168514300,0.0,0.0,0.0
2015-01-29 00:00:00-05:00,200.3800048828125,202.3000030517578,198.67999267578125,201.99000549316406,166.84640502929688,173585400,0.0,0.0,0.0
2015-01-30 00:00:00-05:00,200.57000732421875,202.1699981689453,199.1300048828125,199.4499969482422,164.74835205078125,197729700,0.0,0.0,0.0
